competency_id,label,type,area,description,source_id,provenance,source_type,created_at,updated_at
COMP-SAMPLING,Sampling Methodology,DOMAIN,Survey methodology,Select sampling designs and calculate defensible weights.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-002,Digital Tools,FUNCTIONAL,Digital working,Use spreadsheets and digital survey tools with reproducible checks.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-003,Critical Thinking,BEHAVIOURAL,Reasoning,"Identify assumptions, investigate inconsistencies and justify decisions.",SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-004,Survey Data Collection,DOMAIN,Field surveys,Apply survey instructions and record respondent information accurately.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-005,Communication,BEHAVIOURAL,Communication,Explain statistical tasks clearly and engage respondents respectfully.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-006,Sampling Frames and UFS,DOMAIN,Survey frames,"Maintain complete, nonoverlapping and identifiable urban sampling units.",SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-007,Geospatial Tools,FUNCTIONAL,Geospatial working,Check boundaries and edit geospatial layers for frame maintenance.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-008,Industrial Statistics,DOMAIN,Enterprise statistics,Interpret enterprise variables and validate industrial survey records.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-009,Statistical Analysis,FUNCTIONAL,Analysis,Analyze statistical data with appropriate methods and transparent checks.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-010,Price Statistics,DOMAIN,Prices and indices,Validate quotations and compile interpretable price indices.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-011,Statistical Computing,FUNCTIONAL,Computing,"Write reproducible statistical data transformations and calculations, including workflows using Python, R and SQL. Broad workflow skill; tool-specific proficiency is separately evidenced in COMP-025, COMP-026 and COMP-027.",SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-07T06:15:00Z
COMP-012,National Accounts,DOMAIN,National accounts,"Compile and reconcile output, intermediate consumption and GVA estimates.",SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-013,Statistical Data Management,FUNCTIONAL,Data governance,"Manage statistical records, versioning, quality controls and data lifecycles.",SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-014,Data Privacy and Disclosure Control,FUNCTIONAL,Privacy,Assess disclosure risk and apply defensible statistical protection methods.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-015,Metadata and Dissemination,FUNCTIONAL,Publication,"Prepare definitions, provenance, quality notes and release-ready metadata.",SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-016,Leadership,BEHAVIOURAL,Supervision,"Coach staff, delegate work and oversee quality and delivery.",SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
COMP-017,Collaboration,BEHAVIOURAL,Teamwork,Coordinate handoffs and resolve cross-team dependencies.,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
