evidence_id,user_id,competency_id,assessment_id,assessment_type,evidence_type,score,estimated_level,confidence,date,coverage,item_count,rubric_version,reviewed,state_update_applied,payload_hash,source_id,provenance,source_type,created_at,updated_at
EVD-SEED-001-001,USR-001,COMP-SAMPLING,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,2,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-001-002,USR-001,COMP-002,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,2,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-001-003,USR-001,COMP-003,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-001-004,USR-001,COMP-004,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-001-005,USR-001,COMP-005,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-001-006,USR-001,COMP-006,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-001-007,USR-001,COMP-007,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-001-016,USR-001,COMP-016,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,2,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-001-017,USR-001,COMP-017,ASS-SEED-001,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-002-008,USR-002,COMP-008,ASS-SEED-002,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-002-009,USR-002,COMP-009,ASS-SEED-002,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
EVD-SEED-002-003,USR-002,COMP-003,ASS-SEED-002,MANAGER_REVIEW,MANAGER_VALIDATED,,3,0.82,2026-09-01T09:00:00Z,1.0,,seed-manager-demo-v1,1,1,,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
