gap_id,user_id,scope,position_id,competency_id,required_level,current_level,signed_gap,unmet_gap,gap_status,priority,recommendation_status,contributing_role_ids,contributing_activity_ids,provenance,source_type,source_id,created_at,updated_at
GAP-USR-001-CURRENT-COMP-002,USR-001,CURRENT,POS-001,COMP-002,3,2,1,1,MEDIUM,MEDIUM,VERIFIED_DESTINATION_DEMO_MAPPING,"[""ROLE-001""]","[""ACT-001"", ""ACT-002"", ""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-CURRENT-COMP-003,USR-001,CURRENT,POS-001,COMP-003,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-001""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-CURRENT-COMP-004,USR-001,CURRENT,POS-001,COMP-004,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-002""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-CURRENT-COMP-005,USR-001,CURRENT,POS-001,COMP-005,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-002""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-CURRENT-COMP-006,USR-001,CURRENT,POS-001,COMP-006,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-CURRENT-COMP-007,USR-001,CURRENT,POS-001,COMP-007,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-CURRENT-COMP-SAMPLING,USR-001,CURRENT,POS-001,COMP-SAMPLING,3,2,1,1,MEDIUM,MEDIUM,NO_VERIFIED_COURSE,"[""ROLE-001""]","[""ACT-001""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-TARGET-COMP-002,USR-001,TARGET,POS-002,COMP-002,3,2,1,1,MEDIUM,MEDIUM,VERIFIED_DESTINATION_DEMO_MAPPING,"[""ROLE-001""]","[""ACT-001"", ""ACT-002"", ""ACT-003""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-TARGET-COMP-003,USR-001,TARGET,POS-002,COMP-003,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-001""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
GAP-USR-001-TARGET-COMP-004,USR-001,TARGET,POS-002,COMP-004,3,3,0,0,NO_GAP,NO_GAP,NOT_NEEDED,"[""ROLE-001""]","[""ACT-002""]",DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
