course_id,title,description,provider,duration_minutes,language,license,learning_mode,course_url,destination_verified,verification_basis,live_access_verified,last_verified_at,tier,status,source_id,provenance,source_type,created_at,updated_at
CRS-001,Microsoft Excel Advanced,,Microsoft,229,,,,https://portal.igotkarmayogi.gov.in/app/toc/do_11363681497528729611020/overview,1,OFFICIAL_PUBLISHED_LINK,0,,1,DOCUMENTED_NOT_LIVE_VERIFIED,SRC-005,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-002,Responsible Data Management,,DataDotOrg,118,,,,https://portal.igotkarmayogi.gov.in/app/toc/do_1140994741049999361127/overview,1,OFFICIAL_PUBLISHED_LINK,0,,1,DOCUMENTED_NOT_LIVE_VERIFIED,SRC-005,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-003,Basics of Communication,,,,,,,,0,TITLE_ONLY_DESTINATION_UNRESOLVED,0,,1,DESTINATION_UNRESOLVED,SRC-006,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-004,Cybersecurity (Basic Level),,IIT Madras,84,,,,https://portal.igotkarmayogi.gov.in/app/toc/do_1142432002191196161252/overview,1,OFFICIAL_PUBLISHED_LINK,0,,1,DOCUMENTED_NOT_LIVE_VERIFIED,SRC-005,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-005,Cybersecurity (Intermediate Level),,IIT Madras,85,,,,https://portal.igotkarmayogi.gov.in/app/toc/do_1142432175613706241256/overview,1,OFFICIAL_PUBLISHED_LINK,0,,1,DOCUMENTED_NOT_LIVE_VERIFIED,SRC-005,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-006,Overview of Basic Statistics,,,125,,,,,0,TITLE_ONLY_DESTINATION_UNRESOLVED,0,,1,DESTINATION_UNRESOLVED,SRC-007,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-007,Handling Unit Level Data of Household Consumption Expenditure Survey,,,125,,,,,0,TITLE_ONLY_DESTINATION_UNRESOLVED,0,,1,DESTINATION_UNRESOLVED,SRC-007,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-008,Handling Unit Level Data of Annual Survey of Industries,,,23.75,,,,,0,TITLE_ONLY_DESTINATION_UNRESOLVED,0,,1,DESTINATION_UNRESOLVED,SRC-007,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-009,Handling Data of Annual Survey of Unincorporated Sector Enterprises,,,27.916666666666668,,,,,0,TITLE_ONLY_DESTINATION_UNRESOLVED,0,,1,DESTINATION_UNRESOLVED,SRC-007,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
CRS-010,Know Your Ministry-Ministry of Statistics and Programme Implementation,,,70,,,,,0,TITLE_ONLY_DESTINATION_UNRESOLVED,0,,1,DESTINATION_UNRESOLVED,SRC-007,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
