learning_path_id,user_id,scope,target_position_id,readiness_status,status,rule_version,provenance,source_type,source_id,created_at,updated_at
PATH-USR-001,USR-001,TARGET,POS-002,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-002,USR-002,TARGET,POS-004,NEAR_READY,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-003,USR-003,TARGET,POS-006,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-004,USR-004,TARGET,POS-008,DEVELOPMENT_REQUIRED,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-005,USR-005,TARGET,POS-012,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-006,USR-006,TARGET,POS-010,INSUFFICIENT_EVIDENCE,ASSESSMENT_NEEDED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-007,USR-007,TARGET,POS-013,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-008,USR-008,TARGET,POS-014,NEAR_READY,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-009,USR-009,TARGET,POS-002,INSUFFICIENT_EVIDENCE,ASSESSMENT_NEEDED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-010,USR-010,TARGET,POS-014,READY,COMPETENCIES_MET,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-011,USR-011,TARGET,POS-016,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-012,USR-012,TARGET,POS-018,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-013,USR-013,TARGET,POS-020,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-014,USR-014,TARGET,POS-020,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-015,USR-015,TARGET,POS-022,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-016,USR-016,TARGET,POS-022,DEVELOPMENT_REQUIRED,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-017,USR-017,TARGET,POS-022,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-018,USR-018,TARGET,POS-024,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-019,USR-019,TARGET,POS-026,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
PATH-USR-020,USR-020,TARGET,POS-028,CRITICAL_GAPS,CATALOGUE_LIMITED,sih-demo-v2.0,DERIVED,DERIVED,SRC-PROJECT,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
