position_id,mdo_id,division_id,name,description,career_band,status,source_id,provenance,source_type,created_at,updated_at
POS-001,MDO-001,DIV-001,Junior Statistical Officer: Field Surveys,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",1,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-002,MDO-001,DIV-001,Senior Statistical Officer: Field Supervision,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",2,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-003,MDO-001,DIV-003,Junior Statistical Officer: Enterprise Data,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",1,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-004,MDO-001,DIV-003,Senior Statistical Officer: Enterprise Quality,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",2,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-005,MDO-001,DIV-004,Junior Statistical Officer: Price Data,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",1,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-006,MDO-001,DIV-004,Senior Statistical Officer: Price Indices,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",2,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-007,MDO-001,DIV-005,Senior Statistical Officer: National Accounts,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",2,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-008,MDO-001,DIV-005,Assistant Director: National Accounts,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",3,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-009,MDO-001,DIV-002,Junior Statistical Officer: Survey Methods,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",1,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-010,MDO-001,DIV-002,Senior Statistical Officer: Survey Methods,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",2,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-011,MDO-001,DIV-006,Senior Statistical Officer: Data Stewardship,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",2,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-012,MDO-001,DIV-006,Assistant Director: Data Governance,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",3,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-013,MDO-001,DIV-001,Assistant Director: Survey Operations,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",3,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-014,MDO-001,DIV-006,Deputy Director: Statistical Capability,"Fictional demo position using plausible designations; not a sanctioned post, recruitment rule or official promotion path.",4,ACTIVE,SRC-PROJECT,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
POS-015,MDO-001,DIV-002,Statistical Officer: Labour Statistics Analysis,Fictional assignment in an existing reference division; not a sanctioned post or official functional ownership claim.,1,ACTIVE,SRC-EXPANSION,SYNTHETIC,SYNTHETIC,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
