role_id,competency_id,required_level,priority,contributing_activity_ids,max_level_activity_ids,aggregation_rule,source_id,provenance,source_type,created_at,updated_at
ROLE-001,COMP-SAMPLING,3,2,"[""ACT-001""]","[""ACT-001""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-001,COMP-002,3,2,"[""ACT-001"", ""ACT-002"", ""ACT-003""]","[""ACT-003""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-001,COMP-003,3,2,"[""ACT-001""]","[""ACT-001""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-001,COMP-004,3,2,"[""ACT-002""]","[""ACT-002""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-001,COMP-005,3,2,"[""ACT-002""]","[""ACT-002""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-001,COMP-006,3,2,"[""ACT-003""]","[""ACT-003""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-001,COMP-007,3,2,"[""ACT-003""]","[""ACT-003""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-002,COMP-008,3,2,"[""ACT-004""]","[""ACT-004""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-002,COMP-009,4,2,"[""ACT-004""]","[""ACT-004""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-002,COMP-003,3,2,"[""ACT-004""]","[""ACT-004""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-003,COMP-010,4,2,"[""ACT-005"", ""ACT-006""]","[""ACT-006""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-003,COMP-009,3,2,"[""ACT-005"", ""ACT-006""]","[""ACT-005"", ""ACT-006""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
ROLE-003,COMP-003,3,2,"[""ACT-005""]","[""ACT-005""]",MAX_ACTIVITY_REQUIREMENT,SRC-PROJECT,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
