source_id,title,source_url,locator,support_scope,verification_status,reviewed_at,provenance,source_type,created_at,updated_at
SRC-001,Updated MoSPI roles and responsibilities compendium,https://www.mospi.gov.in/sites/default/files/Updated_Compendium_of_Roles_and_Responsibilities_of_Divisions_and_Units_MoSPI.pdf,Contents; divisions; institutional functions,Published MDO/division names and work functions; NOT project position assignments or required levels,OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-002,MoSPI Field Operations Division,https://www.mospi.gov.in/about-us/fod,Roles and responsibilities,"Fieldwork, supervision and survey quality functions",OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-003,Urban Frame Survey Phase 2022-27,https://mospi.gov.in/sites/default/files/publication_reports/UFS_english.pdf,Urban Frame Survey overview,UFS frame maintenance and digital/geospatial context,OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-004,"ISTM draft FRAC introduction pack, April 2022",https://www.istm.gov.in/uploads/mission_karmayogi/Introduction.pdf,"Pages 5, 10-16",Position/role/activity/competency concepts and types; DRAFT; does NOT establish the project five-level scale,OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-005,"DVET SADHANA Saptah iGOT course list, April 2026",https://www.dvet.gov.in/wp-content/uploads/Desk/SADHANA-Saptah-iGOT-Course-List.pdf,"Rows 16,25,27,36","Published course titles, providers, durations and deep links; not live enrollment or syllabus verification",OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-006,"NIEPID mandatory iGOT courses, March 2026",https://niepid.nic.in/en/mandatory-course-completion-and-comprehensive-assessment-on-igot-karmayogi-platfrom/,Pay levels 7-10,Basics of Communication and Responsible Data Management title/link associations; not author/provider for Communication,OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-007,"MoSPI NSSTA circular, 1 April 2026",https://www.mospi.gov.in/uploads/announcements/announcements_1775034332154_0ff2d7ab-39ac-49a5-b01a-8c9d5966bea3_NSSTA_OM_1.4.26_.pdf,"Annexure II, items 1-5",Five statistical/ministry course titles and durations; exact destinations and authoring providers not established,OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-008,MoSPI FAQs,https://www.mospi.gov.in/faq,Data access and anonymization,"Statistical dissemination and privacy context, not operational legal advice",OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-009,MoSPI National Accounts Division,https://www.mospi.gov.in/about-us/nad,Roles and responsibilities,National accounts/GVA compilation functions,OFFICIAL_CONTENT_INSPECTED,2026-09-06T14:52:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-PROJECT,SIH26101 supplied baseline and Master Prompt v2,,Supplied prompt / package documentation,"Project scale, seed mappings and deterministic scenario design; not official government requirements",PROJECT_DEFINED,2026-09-06T14:52:00Z,DERIVED,DERIVED,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-MOCK,Simulated review and assessment policy,,Supplied prompt / package documentation,"Fictional review approvals, training history and assessment events; no actual trainer or government validation",PROJECT_DEFINED,2026-09-06T14:52:00Z,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
SRC-EXPANSION,User-approved 20-persona 32-competency expansion,,"User-supplied SIH26101 statement and approved expansion, 7 September 2026","Project definitions, mappings and fictional assignments, not an official competency framework.",USER_SUPPLIED_SCOPE_PROJECT_DERIVATION,2026-09-07T06:15:00Z,DERIVED,DERIVED,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
SRC-NSSTA-CAL25,Tentative NSSTA Advance Training Calendar FY 2025-2026,https://www.mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf,Topic rows: Agriculture; Labour Force and Price Statistics; SDGs; R; Python ML; National Accounts; GIS.,"Published historical/tentative topic titles only. Not current enrollment, verified syllabuses, provider authorship, individual TPAC approval or learner destinations.",OFFICIAL_CALENDAR_TEXT_INSPECTED,2026-09-07T06:15:00Z,PUBLIC_OFFICIAL,PUBLIC_OFFICIAL,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
