training_record_id,user_id,course_id,status,started_at,completed_at,progress_percent,score,completion_verified,source_id,provenance,source_type,created_at,updated_at
TRN-001,USR-001,CRS-001,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
TRN-002,USR-005,CRS-002,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
TRN-003,USR-008,CRS-001,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
TRN-004,USR-010,CRS-002,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
TRN-005,USR-001,CRS-006,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-006,USR-002,CRS-008,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-007,USR-002,CRS-006,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-008,USR-003,CRS-011,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-009,USR-003,CRS-006,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-010,USR-004,CRS-016,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-011,USR-004,CRS-003,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-012,USR-005,CRS-004,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-013,USR-006,CRS-014,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-014,USR-006,CRS-006,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-015,USR-007,CRS-003,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-016,USR-007,CRS-004,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-017,USR-008,CRS-003,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-018,USR-009,CRS-017,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-019,USR-009,CRS-006,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-020,USR-010,CRS-003,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-021,USR-011,CRS-011,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-022,USR-011,CRS-003,COMPLETED,2026-08-20T09:00:00Z,2026-08-25T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-023,USR-011,CRS-006,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-024,USR-012,CRS-012,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-025,USR-012,CRS-006,IN_PROGRESS,2026-08-20T09:00:00Z,,40,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-026,USR-012,CRS-003,NOT_STARTED,,,0,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
TRN-027,USR-013,CRS-013,COMPLETED,2026-04-01T09:00:00Z,2026-04-05T09:00:00Z,100,,0,SRC-MOCK,MOCK_BEHAVIOUR,MOCK_BEHAVIOUR,2026-09-07T06:15:00Z,2026-09-07T06:15:00Z
