competency_id,competency,tier1_candidates,documented_destination_demo_approved,verified_syllabus_coverage,production_eligible_courses,status,provenance
COMP-SAMPLING,Sampling Methodology,,,False,0,PENDING_REVIEW,DERIVED
COMP-002,Digital Tools,CRS-001,CRS-001,False,0,DEMO_MAPPING_ONLY,DERIVED
COMP-003,Critical Thinking,,,False,0,PENDING_REVIEW,DERIVED
COMP-004,Survey Data Collection,,,False,0,PENDING_REVIEW,DERIVED
COMP-005,Communication,CRS-003,,False,0,PENDING_REVIEW,DERIVED
COMP-006,Sampling Frames and UFS,,,False,0,PENDING_REVIEW,DERIVED
COMP-007,Geospatial Tools,CRS-017,,False,0,PENDING_REVIEW,DERIVED
COMP-008,Industrial Statistics,CRS-008; CRS-009,,False,0,PENDING_REVIEW,DERIVED
COMP-009,Statistical Analysis,CRS-006; CRS-007,,False,0,PENDING_REVIEW,DERIVED
COMP-010,Price Statistics,CRS-011,,False,0,PENDING_REVIEW,DERIVED
COMP-011,Statistical Computing,CRS-014,,False,0,PENDING_REVIEW,DERIVED
COMP-012,National Accounts,CRS-016,,False,0,PENDING_REVIEW,DERIVED
COMP-013,Statistical Data Management,CRS-002,CRS-002,False,0,DEMO_MAPPING_ONLY,DERIVED
COMP-014,Data Privacy and Disclosure Control,CRS-004; CRS-005,,False,0,PENDING_REVIEW,DERIVED
COMP-015,Metadata and Dissemination,,,False,0,PENDING_REVIEW,DERIVED
COMP-016,Leadership,,,False,0,PENDING_REVIEW,DERIVED
COMP-017,Collaboration,,,False,0,PENDING_REVIEW,DERIVED
COMP-018,Strategic Thinking,,,False,0,PENDING_REVIEW,DERIVED
COMP-019,Labour Statistics,CRS-011,,False,0,PENDING_REVIEW,DERIVED
COMP-020,Agricultural Statistics,CRS-012,,False,0,PENDING_REVIEW,DERIVED
COMP-021,SDG Indicators,CRS-013,,False,0,PENDING_REVIEW,DERIVED
COMP-022,Data Quality Frameworks,CRS-007,,False,0,PENDING_REVIEW,DERIVED
COMP-023,Survey Design,,,False,0,PENDING_REVIEW,DERIVED
COMP-024,Metadata Standards,,,False,0,PENDING_REVIEW,DERIVED
COMP-025,Python,CRS-015,,False,0,PENDING_REVIEW,DERIVED
COMP-026,R,CRS-014,,False,0,PENDING_REVIEW,DERIVED
COMP-027,SQL,,,False,0,PENDING_REVIEW,DERIVED
COMP-028,Data Visualization,CRS-014,,False,0,PENDING_REVIEW,DERIVED
COMP-029,AI/ML,CRS-015,,False,0,PENDING_REVIEW,DERIVED
COMP-030,Cloud Computing,,,False,0,PENDING_REVIEW,DERIVED
COMP-031,APIs,,,False,0,PENDING_REVIEW,DERIVED
COMP-032,Cybersecurity,CRS-004; CRS-005,,False,0,PENDING_REVIEW,DERIVED
