competency_id,competency,tier1_candidates,documented_destination_demo_approved,verified_syllabus_coverage,production_eligible_courses,status,provenance
COMP-SAMPLING,Sampling Methodology,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-002,Digital Tools,CRS-001,CRS-001,False,0,PARTIAL_DEMO_ALIGNMENT_ONLY,DERIVED
COMP-003,Critical Thinking,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-004,Survey Data Collection,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-005,Communication,CRS-003,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-006,Sampling Frames and UFS,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-007,Geospatial Tools,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-008,Industrial Statistics,CRS-008;CRS-009,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-009,Statistical Analysis,CRS-006;CRS-007,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-010,Price Statistics,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-011,Statistical Computing,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-012,National Accounts,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-013,Statistical Data Management,CRS-002,CRS-002,False,0,PARTIAL_DEMO_ALIGNMENT_ONLY,DERIVED
COMP-014,Data Privacy and Disclosure Control,CRS-004;CRS-005,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-015,Metadata and Dissemination,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-016,Leadership,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-017,Collaboration,,,False,0,NO_VERIFIED_COURSE,DERIVED
COMP-018,Strategic Thinking,,,False,0,NO_VERIFIED_COURSE,DERIVED
