record_group,total,PUBLIC_OFFICIAL,DERIVED,SYNTHETIC,MOCK_BEHAVIOUR,provenance
sources,11,9,1,1,0,DERIVED
mdos,1,1,0,0,0,DERIVED
divisions,6,6,0,0,0,DERIVED
competencies,18,0,18,0,0,DERIVED
competency_levels,90,0,90,0,0,DERIVED
roles,8,0,8,0,0,DERIVED
activities,13,0,13,0,0,DERIVED
activity_competencies,40,0,40,0,0,DERIVED
role_competencies,35,0,35,0,0,DERIVED
positions,14,0,0,14,0,DERIVED
position_role,20,0,20,0,0,DERIVED
users,10,0,0,10,0,DERIVED
user_competencies,77,0,0,77,0,DERIVED
competency_evidence,74,0,0,0,74,DERIVED
courses,20,10,0,10,0,DERIVED
course_competencies,19,0,19,0,0,DERIVED
course_learning_outcomes,24,0,24,0,0,DERIVED
learning_outcome_competency,24,0,24,0,0,DERIVED
course_prerequisites,1,0,1,0,0,DERIVED
training_records,4,0,0,0,4,DERIVED
knowledge_resources,1,0,0,1,0,DERIVED
course_resources,1,0,1,0,0,DERIVED
competency_gaps,138,0,138,0,0,DERIVED
course_recommendations,4,0,4,0,0,DERIVED
learning_paths,10,0,10,0,0,DERIVED
learning_path_items,82,0,82,0,0,DERIVED
