record_group,total,PUBLIC_OFFICIAL,DERIVED,SYNTHETIC,MOCK_BEHAVIOUR,provenance
sources,13,10,2,1,0,DERIVED
mdos,1,1,0,0,0,DERIVED
divisions,6,6,0,0,0,DERIVED
competencies,32,0,32,0,0,DERIVED
competency_levels,160,0,160,0,0,DERIVED
roles,15,0,15,0,0,DERIVED
activities,34,0,34,0,0,DERIVED
activity_competencies,94,0,94,0,0,DERIVED
role_competencies,85,0,85,0,0,DERIVED
positions,28,0,0,28,0,DERIVED
position_role,41,0,41,0,0,DERIVED
users,20,0,0,20,0,DERIVED
user_competencies,202,0,0,202,0,DERIVED
competency_evidence,199,0,0,0,199,DERIVED
courses,30,17,0,13,0,DERIVED
course_competencies,46,0,46,0,0,DERIVED
course_learning_outcomes,59,0,59,0,0,DERIVED
learning_outcome_competency,58,0,58,0,0,DERIVED
course_prerequisites,1,0,1,0,0,DERIVED
training_records,50,0,0,0,50,DERIVED
knowledge_resources,2,0,0,2,0,DERIVED
course_resources,2,0,2,0,0,DERIVED
competency_gaps,338,0,338,0,0,DERIVED
course_recommendations,10,0,10,0,0,DERIVED
learning_paths,20,0,20,0,0,DERIVED
learning_path_items,391,0,391,0,0,DERIVED
